  1   1 0.67012294
  3   2 0.96891707
  4   2 0.92030677
  6   1 0.87920073
  8   1 0.87604053
 10   2 0.87678773
 12   1 0.85444470
 14   1 0.85389867
 16   2 0.85404205
 18   1 0.82661212
 20   2 0.83249340
 22   1 0.80018919
 24   1 0.80315609
 26   2 0.81365269
 28   1 0.79497141
 30   1 0.80025817
 32   2 0.79225820
 34   1 0.75825974
 36   1 0.75958862
 38   2 0.77540294
 40   1 0.75013807
 42   1 0.76808569
 44   2 0.74819831
 46   1 0.70850830
 48   2 0.71036017
 50   1 0.67603899
 52   2 0.68203987
 54   1 0.66457673
 56   1 0.66520980
 58   2 0.67788827
 59   2 0.64079464
 61   1 0.61999858
 63   2 0.63100260
 65   1 0.59637938
 67   2 0.60105016
 69   1 0.58041872
 71   2 0.60064944
 73   1 0.60338473
 75   2 0.60714910
 77   1 0.58242098
 79   1 0.56947431
 81   2 0.56905002
 83   1 0.55508035
 85   1 0.55982521
 87   2 0.53937886
 89   1 0.53575502
 91   1 0.51977355
 93   2 0.51091771
 95   1 0.50879345
 97   1 0.48147595
 99   2 0.49929096
101   1 0.50709269
103   2 0.50484427
105   1 0.47864906
107   2 0.47146402
109   1 0.45537206
111   1 0.46339987
113   2 0.44919565
114   2 0.41610722
116   1 0.41678227
  999     1 0.40021080
