  1   1 0.66846142
  3   2 0.96746493
  4   2 0.91161670
  6   1 0.87555320
  8   1 0.87656739
 10   2 0.88229361
 12   1 0.84347889
 14   3 0.84473017
 16   1 0.82722541
 18   1 0.83743890
 20   2 0.82237223
 22   1 0.80887074
 24   2 0.80645421
 26   1 0.79542238
 28   1 0.80286758
 30   2 0.80530814
 31   2 0.77823569
 33   1 0.77351970
 35   1 0.77145718
 37   2 0.75273395
 39   1 0.73608529
 41   2 0.73489391
 43   1 0.71503418
 45   2 0.69432845
 47   2 0.66771035
 48   2 0.62631536
 50   1 0.61965940
 52   1 0.62544953
 54   2 0.61918645
 56   1 0.61960340
 58   2 0.62341265
 60   1 0.58346084
 62   3 0.58692849
 64   1 0.57336059
 66   1 0.58823425
