    1     1 0.89529641
    3     2 0.90340885
    4     2 0.85829735
    6     1 0.84292104
    8     1 0.85333919
   10     2 0.83209905
   12     1 0.82634234
   14     3 0.73834107
   16     1 0.79237907
   18     2 0.76950901
   20     1 0.76323314
   22     2 0.76109566
   24     1 0.76537045
   26     1 0.76559971
   28     2 0.72388501
   30     2 0.67333087
   32     1 0.66389685
   34     2 0.66936181
   36     1 0.66286447
   38     2 0.59796812
   40     1 0.55359194
   42     3 0.48308657
   44     1 0.49436246
   46     1 0.48048066
