    1     1 0.88629786
    3     2 0.90361290
    4     2 0.85837697
    6     1 0.84969298
    8     1 0.85402712
   10     2 0.81974044
   12     1 0.84010313
   14     3 0.75940354
   16     1 0.77790445
   18     2 0.72586226
   20     1 0.74496134
   22     2 0.72439752
   24     1 0.71770649
   26     1 0.72165579
   28     2 0.66207208
   30     2 0.60424148
   32     1 0.61113628
   34     2 0.62253299
   36     1 0.62879295
   38     2 0.56645823
   40     1 0.51907264
   42     3 0.42598960
   44     1 0.40444993
   46     1 0.41811420
