  1   1 0.97761356
  3   2 0.97766510
  4   2 0.97489519
  6   1 0.98525013
  8   1 0.98173733
 10   2 0.97550005
 12   1 0.97969543
 14   3 0.97999221
 16   1 0.98411623
 18   1 0.97989493
 20   2 0.97864484
 22   1 0.97803984
 24   2 0.97887103
 26   1 0.98654286
 28   1 0.97745949
 30   2 0.97950014
 31   2 0.98950220
 33   1 0.97751911
 35   1 0.98057746
 37   2 0.98051818
 39   1 0.97606120
 41   2 0.98588920
 43   1 0.98595493
 45   2 0.98638453
 47   2 0.97650267
 48   2 0.97737268
 50   1 0.97404325
 52   1 0.97381643
 54   2 0.97470734
 56   1 0.97573101
 58   2 0.98245075
 60   1 0.97987987
 62   3 0.97603214
 64   1 0.97506202
 66   1 0.97420782
