  1   1 0.98151781
  3   2 0.97391982
  4   2 0.91618585
  6   1 0.91201328
  8   1 0.89381063
 10   2 0.89789095
 12   1 0.84835311
 14   3 0.85211876
 16   1 0.75320418
 18   1 0.75443517
 20   2 0.75520333
 22   1 0.72188985
 24   2 0.71682217
 26   1 0.70807577
 28   1 0.69846568
 30   2 0.69589362
 31   2 0.66914338
 33   1 0.66138797
 35   1 0.65066108
 37   2 0.64073216
 39   1 0.62034418
 41   2 0.62659254
 43   1 0.59876742
 45   2 0.59051065
 47   2 0.56120202
 48   2 0.55101071
 50   1 0.53002789
 52   1 0.52887391
 54   2 0.53531469
 56   1 0.51715487
 58   2 0.52500934
 60   1 0.50299814
 62   3 0.48802033
 64   1 0.44638527
 66   1 0.45281112
