  1   1 0.97696060
  3   2 0.95917051
  4   2 0.93261338
  6   1 0.90618087
  8   1 0.89630053
 10   2 0.87561269
 12   1 0.84786444
 14   2 0.85230750
 16   1 0.83288702
 18   2 0.82585717
 20   1 0.78545221
 22   1 0.78258877
 24   2 0.78531036
 26   1 0.75297346
 28   1 0.74559642
 30   2 0.74868596
 32   1 0.71434209
 34   1 0.70921519
 36   2 0.70237173
 38   1 0.67717791
 40   1 0.67180950
 42   2 0.67213349
 44   1 0.66205694
 46   2 0.65683860
 48   1 0.62673719
 50   2 0.62072723
 52   1 0.58857852
 54   1 0.59596068
 56   2 0.59323143
 57   2 0.54596100
 59   1 0.53699328
 61   2 0.54253469
 63   1 0.50449160
 65   2 0.49989720
 67   1 0.50055714
 69   2 0.49478987
 71   1 0.46882568
 73   2 0.46471013
 75   1 0.45615775
 77   1 0.44883791
 79   2 0.45377651
 81   1 0.42947073
 83   1 0.43676498
 85   2 0.42670149
 87   1 0.42198393
 89   1 0.40620815
 91   2 0.41271527
 93   1 0.40130062
 95   1 0.37747592
 97   2 0.38963674
 99   1 0.37088980
101   2 0.36821182
103   1 0.36354518
105   2 0.36806664
107   1 0.34170451
109   1 0.34690495
111   2 0.34809299
112   2 0.33554518
114   1 0.30919439
