    1     1 0.99374510
    3     2 0.99298728
    4     2 0.99364394
    6     1 0.99303951
    8     1 0.99448292
   10     2 0.99443584
   12     1 0.99313758
   14     3 0.99413952
   16     1 0.99521489
   18     2 0.99685205
   20     1 0.99283664
   22     2 0.99139001
   24     1 0.99247196
   26     1 0.99268291
   28     2 0.99288836
   30     2 0.99286117
   32     1 0.98984474
   34     2 0.99368978
   36     1 0.99386403
   38     2 0.99402173
   40     1 0.99262490
   42     3 0.99354219
   44     1 0.99195756
   46     1 0.99422225
