    1     1 0.99290064
    3     2 0.99360463
    4     2 0.99345873
    6     1 0.99346787
    8     1 0.99356251
   10     2 0.99204056
   12     1 0.99373150
   14     3 0.99384256
   16     1 0.99216734
   18     2 0.99141591
   20     1 0.99192311
   22     2 0.99196028
   24     1 0.99018524
   26     1 0.99311999
   28     2 0.99214915
   30     2 0.99377334
   32     1 0.99223453
   34     2 0.99455077
   36     1 0.99343722
   38     2 0.99348383
   40     1 0.99345693
   42     3 0.99336457
   44     1 0.99231185
   46     1 0.99367547
