    1     1 0.97596141
    3     2 0.93569538
    4     2 0.90675238
    6     1 0.89537967
    8     1 0.89517729
   10     2 0.85760245
   11     2 0.83845369
   13     1 0.83575738
   15     1 0.83407597
   17     2 0.80188064
   19     1 0.80233310
   21     1 0.79724523
   23     2 0.77419408
   25     1 0.77196741
   27     1 0.76540847
   29     2 0.74378865
   31     1 0.73823779
   33     1 0.73845738
   35     2 0.71495355
   37     1 0.71255354
   39     1 0.71446762
   41     2 0.69105674
   43     1 0.68887520
   45     1 0.68524329
   47     2 0.66841129
   49     1 0.66290129
   51     1 0.66337337
   53     2 0.64425798
   55     1 0.63538197
   57     1 0.63426713
   59     2 0.61678198
   61     1 0.61388610
   63     1 0.61402229
   65     2 0.59800349
   67     1 0.59518577
   69     1 0.59065297
   71     2 0.58043759
   73     1 0.57417279
   75     1 0.57619587
   77     2 0.55461125
   79     1 0.55102760
   81     1 0.54992378
   83     2 0.53706869
   85     1 0.53373311
   87     1 0.53200125
   89     2 0.51678515
   91     1 0.52011824
   93     1 0.51783193
   95     2 0.50158028
   97     1 0.49971624
   99     1 0.49810606
  101     2 0.48198019
  103     1 0.47792185
  105     1 0.48087804
